TRANSACTION TYPE,DATE POSTED,TRANSACTION AMOUNT,TRANSACTION ID,CHECK NUMBER,TRANSACTION NAME,MEMO
DEBIT,6/2/2015,-8000,5747,,Wells Fargo EducEBILLPAY  150602,Wells Fargo EducEBILLPAY  150602
DEBIT,6/2/2015,-0.1,5746,,PAYPAL          VERIFYBANK150601,PAYPAL          VERIFYBANK150601
DEP,6/2/2015,0.02,5745,,PAYPAL          VERIFYBANK150601,PAYPAL          VERIFYBANK150601
DEP,6/2/2015,0.08,5744,,PAYPAL          VERIFYBANK150601,PAYPAL          VERIFYBANK150601
XFER,6/1/2015,-150,5743,,XFER To REWARDS SAVINGS (3),Sch OpenTrn 06/01/15 20:44ET  Ref. 334036580
CHECK,6/1/2015,-40,5742,1338,SH DRAFT,
DEBIT,6/1/2015,-1900,5741,,BK OF AMER MC   ONLINE PMT150601,BK OF AMER MC   ONLINE PMT150601
DEBIT,6/1/2015,-39,5740,,PLANET FIT      CLUB FEES,PLANET FIT      CLUB FEES
DEBIT,6/1/2015,-39,5739,,PLANET FIT      CLUB FEES,PLANET FIT      CLUB FEES
DEBIT,6/1/2015,-56.2,5738,,P.G.E.          WEBPAY,P.G.E.          WEBPAY
DIV,5/31/2015,26.83,5737,,DIVIDEND,
CREDIT,5/31/2015,3.5,5736,,REV FEE,
DEBIT,5/31/2015,-102.5,5735,,ATM 0531 1513 144621 7004 SW NYB,ATM 0531 1513 144621 7004 SW NYBERG ROAD     Tualatin     OR
DEBIT,5/31/2015,-202.5,5734,,ATM 0531 1512 144578 7004 SW NYB,ATM 0531 1512 144578 7004 SW NYBERG ROAD     Tualatin     OR
DEBIT,5/31/2015,-1.29,5733,,POS 0531 1510 144412 7-ELEVEN   ,POS 0531 1510 144412 7-ELEVEN                TUALATIN     OR
DEP,5/29/2015,583.86,5732,,POINT MONITOR   HQ PAYROLL,POINT MONITOR   HQ PAYROLL
DEBIT,5/28/2015,-1700,5731,,BK OF AMER MC   ONLINE PMT150528,BK OF AMER MC   ONLINE PMT150528
DEBIT,5/28/2015,-156.2,5730,,OCCU            LOAN PMT  150528,OCCU            LOAN PMT  150528
DEBIT,5/27/2015,-10,5729,,GRIMMS FUEL YARD         TUALAT,GRIMMS FUEL YARD         TUALATIN     OR 05-25-15 083100
DEBIT,5/27/2015,-10,5728,,GRIMMS FUEL YARD         TUALAT,GRIMMS FUEL YARD         TUALATIN     OR 05-25-15 083061
DEBIT,5/27/2015,-10,5727,,GRIMMS FUEL YARD         TUALAT,GRIMMS FUEL YARD         TUALATIN     OR 05-26-15 083023
DEBIT,5/26/2015,-50,5726,,Wells Fargo FinaEBILLPAY  150526,Wells Fargo FinaEBILLPAY  150526
DEBIT,5/25/2015,-10,5725,,GRIMMS FUEL YARD         TUALAT,GRIMMS FUEL YARD         TUALATIN     OR 05-25-15 024860
DEBIT,5/25/2015,-3.33,5724,,POS 0525 1537 727753 JCS GAS N G,POS 0525 1537 727753 JCS GAS N GRUB          LAKE OSWEGO  OR
DEBIT,5/25/2015,-12.36,5723,,POS 0525 1140 712671 FRED MEYER ,POS 0525 1140 712671 FRED MEYER              TUALATIN     OR
DEP,5/21/2015,300,5722,,ATM 0521 2106 475841 US BANK TUA,ATM 0521 2106 475841 US BANK TUALATIN        TUALATIN     OR
