Transaction_Date,Transaction_ID,TranDesc,ExtDesc,Description,Fee,Amount,Other_Charges,Balance,Post_Date,Check_Number
10/18/2011 16:58,ID2500,New Account Deposit,,New Account Deposit ,,0.25,,0.25,10/18/2011 0:00,
10/18/2011 17:15,ID2501,ATM Inquiry   ,FIRST TECH 8700 SW NIMBUS AVE     BEAVERTON    ORUS,ATM Inquiry    FIRST TECH 8700 SW NIMBUS AVE     BEAVERTON    ORUS,,0,,0.25,10/19/2011 0:00,
12/21/2011 3:18,ID2502,ACH Deposit,PAYPAL VERIFYBANK - VERIFYBANK,ACH Deposit PAYPAL VERIFYBANK - VERIFYBANK,,0.13,,0.38,12/21/2011 0:00,
12/21/2011 3:18,ID2503,ACH Deposit,PAYPAL VERIFYBANK - VERIFYBANK,ACH Deposit PAYPAL VERIFYBANK - VERIFYBANK,,0.03,,0.41,12/21/2011 0:00,
12/22/2011 3:16,ID2504,ACH Deposit,PAYPAL TRANSFER - TRANSFER,ACH Deposit PAYPAL TRANSFER - TRANSFER,,5,,5.41,12/22/2011 0:00,
1/3/2012 4:04,ID2505,ACH Debit,PAYPAL TRANSFER - TRANSFER,ACH Debit PAYPAL TRANSFER - TRANSFER,,-5,,0.41,1/3/2012 0:00,
1/9/2012 15:06,ID2506,Deposit,,Deposit ,,1650,,1650.41,1/9/2012 0:00,
1/10/2012 18:20,ID2507,ATM Inquiry   ,BANK OF AMERICA *HAGGEN TUALATIN       TUALATIN     ORUS,ATM Inquiry    BANK OF AMERICA *HAGGEN TUALATIN       TUALATIN     ORUS,,0,,1650.41,1/11/2012 0:00,
1/10/2012 18:36,ID2508,POS Transaction,HAGGEN FOOD AND PH 8515 SW TUALATIN-S     TUALATIN     ORUS,POS Transaction HAGGEN FOOD AND PH 8515 SW TUALATIN-S     TUALATIN     ORUS,,-9.37,,1641.04,1/11/2012 0:00,
1/17/2012 15:08,ID2509,POS Transaction,7-ELEVEN 6000 S.W. HALL BLV     BEAVERTON    ORUS,POS Transaction 7-ELEVEN 6000 S.W. HALL BLV     BEAVERTON    ORUS,,-16.08,,1624.96,1/18/2012 0:00,
1/17/2012 19:04,ID2510,POS Transaction,FRED MEYER 393         TUALATIN     ORUS,POS Transaction  FRED MEYER 393         TUALATIN     ORUS,,-3.43,,1621.53,1/18/2012 0:00,
1/20/2012 15:41,ID2511,POS Transaction,HAGGEN FOOD AND PH 8515 SW TUALATIN-S     TUALATIN     ORUS,POS Transaction HAGGEN FOOD AND PH 8515 SW TUALATIN-S     TUALATIN     ORUS,,-15.5,,1606.03,1/21/2012 0:00,
1/20/2012 19:29,ID2512,POS Transaction,VALVE SOFTWARE         425-8899642  WAUS,POS Transaction  VALVE SOFTWARE         425-8899642  WAUS,,-19.99,,1586.04,1/21/2012 0:00,
1/21/2012 19:38,ID2513,POS Transaction,CARLS JR #7159    Q15 TUALATIN     ORUS,POS Transaction  CARLS JR #7159    Q15 TUALATIN     ORUS,,-8.18,,1577.86,1/22/2012 0:00,
